 trat A B fatVsAd Ad blocos    AP
    1 1 1       1  0      1 105.0
    1 1 1       1  0      2 100.6
    1 1 1       1  0      3  96.8
    1 1 1       1  0      4  95.4
    2 1 2       1  0      1  97.0
    2 1 2       1  0      2 100.0
    2 1 2       1  0      3  99.7
    2 1 2       1  0      4  95.0
    3 1 3       1  0      1  99.5
    3 1 3       1  0      2  99.0
    3 1 3       1  0      3 106.0
    3 1 3       1  0      4 101.2
    4 2 1       1  0      1 110.8
    4 2 1       1  0      2  95.5
    4 2 1       1  0      3  97.2
    4 2 1       1  0      4 104.6
    5 2 2       1  0      1 100.9
    5 2 2       1  0      2  97.7
    5 2 2       1  0      3 101.4
    5 2 2       1  0      4 103.2
    6 2 3       1  0      1  97.1
    6 2 3       1  0      2  98.4
    6 2 3       1  0      3 101.0
    6 2 3       1  0      4  95.4
    7 0 0      -1  1      1  97.7
    7 0 0      -1  1      2  84.2
    7 0 0      -1  1      3  90.5
    7 0 0      -1  1      4  98.7
    8 0 0      -1 -1      1 102.9
    8 0 0      -1 -1      2 100.8
    8 0 0      -1 -1      3 100.5
    8 0 0      -1 -1      4 104.0
